GTFS Stop ID,Stop Name,station_low,ZIP_CODE,GTFS Latitude,GTFS Longitude,PerHH,BachDeg,GradDeg,TotGrad,2015 Median Household Income,SV
R01,Astoria - Ditmars Blvd,astoria - ditmars blvd,11105,40.775036,-73.912034,0.016981132,0.225490196,0.104575163,0.330065359,53993,0
R03,Astoria Blvd,astoria blvd,11102,40.770258,-73.917843,0.021632252,0.297454545,0.117818182,0.415272727,49159,0
R04,30 Av,30 av,11102,40.766779,-73.921479,0.070264397,0.311478844,0.131755341,0.443234185,50489,0
R05,Broadway,broadway,11106,40.76182,-73.925508,0.014957265,0.2491764,0.185384846,0.434561246,57727,0
R06,36 Av,36 av,11106,40.756804,-73.929575,0.011937923,0.262408191,0.130870243,0.393278433,54732,0
R08,39 Av,39 av,11101,40.752882,-73.932755,0.009765625,0.202898551,0.044384058,0.247282609,46414,0
R11,Lexington Av/59 St,lexington av/59 st,10065,40.76266,-73.967258,0.195187166,0.450769949,0.372375175,0.823145124,133652,0
R14,5 Av/59 St,5 av/59 st,10019,40.764664,-73.980658,0.256260239,0.398421053,0.410526316,0.808947368,127345,0
R15,57 St - 7 Av,57 st - 7 av,10019,40.759901,-73.984139,0.221908526,0.376229508,0.420901639,0.797131148,135408,0
R16,49 St,49 st,10018,40.754672,-73.986754,0.057471264,0.22,0.22,0.44,106499,4.646780377
R17,Times Sq - 42 St,times sq - 42 st,10001,40.749567,-73.98795,0.151289009,0.325976231,0.308998302,0.634974533,101631,0
R18,34 St - Herald Sq,34 st - herald sq,10001,40.745494,-73.988691,0.151289009,0.403932584,0.348314607,0.752247191,101631,0
R19,28 St,28 st,10010,40.741303,-73.989344,0.215647922,0.368231047,0.397833935,0.766064982,130275,13.31095922
R20,23 St,23 st,10003,40.735736,-73.990568,0.277815239,0.416930738,0.417836125,0.834766863,150949,5.950705671
R21,14 St - Union Sq,14 st - union sq,10003,40.730328,-73.992629,0.26154769,0.429991715,0.412178956,0.842170671,152834,0
R22,8 St - NYU,8 st - nyu,10012,40.724329,-73.997702,0.185071575,0.508899912,0.180332652,0.689232565,109080,0
R23,Prince St,prince st,10013,40.719527,-74.001775,0.193181818,0.438787879,0.295757576,0.734545455,120054,0
Q01,Canal St,canal st,10013,40.718383,-74.00046,0.380333952,0.448831587,0.248186946,0.697018533,123445,7.097144471
R24,Canal St,canal st,10007,40.713282,-74.006978,0.220689655,0.448831587,0.248186946,0.697018533,111939,7.097144471
